time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-03-12T03:26:33.360Z,34.0101667,-117.0016667,20.34,0.79,ml,22,77,0.0995,0.3,ci,ci37117543,2015-03-12T03:30:32.319Z,"5km SE of Yucaipa, California",earthquake
2015-03-12T03:22:31.030Z,38.8149986,-122.814003,3.4,0.87,md,21,79,0.01334,0.02,nc,nc72409685,2015-03-12T03:24:09.560Z,"6km NW of The Geysers, California",earthquake
2015-03-12T03:19:48.200Z,33.6766667,-116.764,20.26,0.62,ml,18,129,0.05395,0.14,ci,ci37117535,2015-03-12T03:23:55.123Z,"8km SSW of Idyllwild, California",earthquake
2015-03-12T03:09:11.090Z,33.4803333,-116.475,16.9,0.62,ml,20,102,0.09007,0.2,ci,ci37117519,2015-03-12T03:13:00.369Z,"20km ESE of Anza, California",earthquake
2015-03-12T02:39:23.511Z,41.8708,-119.6339,8.9874,1.57,ml,5,221.5,0.146,0.1141,nn,nn00486763,2015-03-12T03:50:45.957Z,"68km ESE of Lakeview, Oregon",earthquake
2015-03-12T02:12:24.000Z,65.1784,-148.9814,6.9,1.5,ml,,,,0.66,ak,ak11527477,2015-03-12T03:18:27.209Z,"58km NW of Ester, Alaska",earthquake
2015-03-12T01:56:54.878Z,38.5788,-115.3101,0,1.23,ml,5,197.61,0.315,0.2669,nn,nn00486756,2015-03-12T02:50:50.505Z,"23km SE of Currant, Nevada",earthquake
2015-03-12T01:55:02.310Z,32.8839,-96.9119,7.73,2.4,mb_lg,,55,0.018,0.25,us,us10001ltl,2015-03-12T03:30:57.020Z,"4km SSW of Farmers Branch, Texas",earthquake
2015-03-12T01:46:27.690Z,38.8235016,-122.7689972,3.13,0.5,md,7,81,0.006996,0.02,nc,nc72409670,2015-03-12T02:01:05.584Z,"3km W of Cobb, California",earthquake
2015-03-12T01:37:38.000Z,64.7266,-149.3577,22.5,1,ml,,,,0.13,ak,ak11527471,2015-03-12T03:18:28.433Z,"20km NW of North Nenana, Alaska",earthquake
2015-03-12T01:19:20.000Z,32.9368,-88.0667,10.79,3.1,mb_lg,,64,0.261,0.45,us,us10001lte,2015-03-12T03:56:34.735Z,"19km WNW of Eutaw, Alabama",earthquake
2015-03-12T01:13:54.000Z,65.1681,-148.9986,13.4,0.8,ml,,,,0.47,ak,ak11527469,2015-03-12T03:18:27.795Z,"58km NW of Ester, Alaska",earthquake
2015-03-12T01:06:49.000Z,62.0255,-145.2174,17.9,1.6,ml,,,,0.44,ak,ak11527466,2015-03-12T03:18:29.852Z,"19km ESE of Glennallen, Alaska",earthquake
2015-03-12T01:03:57.230Z,38.8133316,-122.8248367,2.69,0.56,md,8,115,0.005601,0.01,nc,nc72409655,2015-03-12T01:18:05.470Z,"7km NW of The Geysers, California",earthquake
2015-03-12T00:43:39.000Z,64.9783,-148.0285,11.9,2.5,ml,,,,0.55,ak,ak11527458,2015-03-12T03:18:56.760Z,"14km N of Ester, Alaska",earthquake
2015-03-12T00:42:33.760Z,38.4287,49.1377,45.17,4.5,mb,,56,3.819,0.86,us,us10001ltc,2015-03-12T01:13:08.417Z,"23km E of Astara, Iran",earthquake
2015-03-12T00:40:26.180Z,35.565,-118.3501667,8.91,1.28,ml,18,123,0.1299,0.2,ci,ci37117391,2015-03-12T00:44:07.812Z,"13km ESE of Lake Isabella, California",earthquake
2015-03-12T00:39:22.270Z,35.4928,27.7923,10,4.4,mb,,59,0.517,1.23,us,us10001lta,2015-03-12T00:57:59.137Z,"52km E of Karpathos, Greece",earthquake
2015-03-12T00:24:17.380Z,38.8301659,-122.8536682,3.48,0.57,md,8,133,0.01526,0.02,nc,nc72409645,2015-03-12T00:38:05.122Z,"10km NW of The Geysers, California",earthquake
2015-03-12T00:21:44.000Z,65.169,-148.9678,1.7,1,ml,,,,0.59,ak,ak11527454,2015-03-12T01:37:42.241Z,"57km NW of Ester, Alaska",earthquake
2015-03-12T00:11:48.380Z,33.4596667,-116.518,3.27,0.59,ml,17,106,0.07857,0.43,ci,ci37117359,2015-03-12T00:15:33.060Z,"18km SE of Anza, California",earthquake
